feature,family,rationale,units,availability,leakage_guard,evidence
speed_toward_goal,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
speed_across_goal,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
speed,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
heading_alignment,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",unitless,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
required_average_speed,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
radial_speed_shortfall,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
cv_distance_at_query,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
cv_distance_at_endpoint,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
cv_endpoint_radial_miss,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
cv_endpoint_lateral_miss,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
closest_approach_time,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",seconds / 5,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
closest_approach_distance,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_distance,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_along_goal,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_across_goal,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_radial_velocity_gap,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_lateral_velocity_gap,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards/second / 10,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_position_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
receiver_velocity_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
velocity_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
goal_axis_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
closest_approach_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
heading_present,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",boolean,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
