feature,family,signal,rationale,availability,provenance,stage,leakage_guard
lag10__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag11__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag12__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag13__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag14__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag15__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag16__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag17__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag18__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag19__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w12__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w20__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w30__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w40__relative_x__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag00__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag01__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag02__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag03__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag04__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag05__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag06__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag07__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag08__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag09__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag10__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag11__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag12__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag13__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag14__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag15__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag16__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag17__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag18__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag19__relative_y,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w03__relative_y__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__slope,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__change,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w05__relative_y__ewmean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_y__mean,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_y__std,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_y__min,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_y__max,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
w08__relative_y__rms,history_summaries,motion,Multiple observed windows measure motion and landing-relative stability.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
