feature,family,stage
w12__relative_y__max,history_summaries,research
w12__relative_y__rms,history_summaries,research
w12__relative_y__slope,history_summaries,research
w12__relative_y__change,history_summaries,research
w12__relative_y__ewmean,history_summaries,research
w20__relative_y__mean,history_summaries,research
w20__relative_y__std,history_summaries,research
w20__relative_y__min,history_summaries,research
w20__relative_y__max,history_summaries,research
w20__relative_y__rms,history_summaries,research
w20__relative_y__slope,history_summaries,research
w20__relative_y__change,history_summaries,research
w20__relative_y__ewmean,history_summaries,research
w30__relative_y__mean,history_summaries,research
w30__relative_y__std,history_summaries,research
w30__relative_y__min,history_summaries,research
w30__relative_y__max,history_summaries,research
w30__relative_y__rms,history_summaries,research
w30__relative_y__slope,history_summaries,research
w30__relative_y__change,history_summaries,research
w30__relative_y__ewmean,history_summaries,research
w40__relative_y__mean,history_summaries,research
w40__relative_y__std,history_summaries,research
w40__relative_y__min,history_summaries,research
w40__relative_y__max,history_summaries,research
w40__relative_y__rms,history_summaries,research
w40__relative_y__slope,history_summaries,research
w40__relative_y__change,history_summaries,research
w40__relative_y__ewmean,history_summaries,research
lag00__vx,history_lags,research
lag01__vx,history_lags,research
lag02__vx,history_lags,research
lag03__vx,history_lags,research
lag04__vx,history_lags,research
lag05__vx,history_lags,research
lag06__vx,history_lags,research
lag07__vx,history_lags,research
lag08__vx,history_lags,research
lag09__vx,history_lags,research
lag10__vx,history_lags,research
lag11__vx,history_lags,research
lag12__vx,history_lags,research
lag13__vx,history_lags,research
lag14__vx,history_lags,research
lag15__vx,history_lags,research
lag16__vx,history_lags,research
lag17__vx,history_lags,research
lag18__vx,history_lags,research
lag19__vx,history_lags,research
w03__vx__mean,history_summaries,research
w03__vx__std,history_summaries,research
w03__vx__min,history_summaries,research
w03__vx__max,history_summaries,research
w03__vx__rms,history_summaries,research
w03__vx__slope,history_summaries,research
w03__vx__change,history_summaries,research
w03__vx__ewmean,history_summaries,research
w05__vx__mean,history_summaries,research
w05__vx__std,history_summaries,research
w05__vx__min,history_summaries,research
w05__vx__max,history_summaries,research
w05__vx__rms,history_summaries,research
w05__vx__slope,history_summaries,research
w05__vx__change,history_summaries,research
w05__vx__ewmean,history_summaries,research
w08__vx__mean,history_summaries,research
w08__vx__std,history_summaries,research
w08__vx__min,history_summaries,research
w08__vx__max,history_summaries,research
w08__vx__rms,history_summaries,research
w08__vx__slope,history_summaries,research
w08__vx__change,history_summaries,research
w08__vx__ewmean,history_summaries,research
w12__vx__mean,history_summaries,research
w12__vx__std,history_summaries,research
w12__vx__min,history_summaries,research
w12__vx__max,history_summaries,research
w12__vx__rms,history_summaries,research
w12__vx__slope,history_summaries,research
w12__vx__change,history_summaries,research
w12__vx__ewmean,history_summaries,research
w20__vx__mean,history_summaries,research
w20__vx__std,history_summaries,research
w20__vx__min,history_summaries,research
w20__vx__max,history_summaries,research
w20__vx__rms,history_summaries,research
w20__vx__slope,history_summaries,research
w20__vx__change,history_summaries,research
w20__vx__ewmean,history_summaries,research
w30__vx__mean,history_summaries,research
w30__vx__std,history_summaries,research
w30__vx__min,history_summaries,research
w30__vx__max,history_summaries,research
w30__vx__rms,history_summaries,research
w30__vx__slope,history_summaries,research
w30__vx__change,history_summaries,research
w30__vx__ewmean,history_summaries,research
w40__vx__mean,history_summaries,research
w40__vx__std,history_summaries,research
w40__vx__min,history_summaries,research
w40__vx__max,history_summaries,research
w40__vx__rms,history_summaries,research
w40__vx__slope,history_summaries,research
w40__vx__change,history_summaries,research
w40__vx__ewmean,history_summaries,research
lag00__vy,history_lags,research
lag01__vy,history_lags,research
lag02__vy,history_lags,research
lag03__vy,history_lags,research
lag04__vy,history_lags,research
lag05__vy,history_lags,research
lag06__vy,history_lags,research
lag07__vy,history_lags,research
lag08__vy,history_lags,research
lag09__vy,history_lags,research
lag10__vy,history_lags,research
lag11__vy,history_lags,research
lag12__vy,history_lags,research
lag13__vy,history_lags,research
lag14__vy,history_lags,research
lag15__vy,history_lags,research
lag16__vy,history_lags,research
lag17__vy,history_lags,research
lag18__vy,history_lags,research
lag19__vy,history_lags,research
w03__vy__mean,history_summaries,research
w03__vy__std,history_summaries,research
w03__vy__min,history_summaries,research
w03__vy__max,history_summaries,research
w03__vy__rms,history_summaries,research
w03__vy__slope,history_summaries,research
w03__vy__change,history_summaries,research
w03__vy__ewmean,history_summaries,research
w05__vy__mean,history_summaries,research
w05__vy__std,history_summaries,research
w05__vy__min,history_summaries,research
w05__vy__max,history_summaries,research
w05__vy__rms,history_summaries,research
w05__vy__slope,history_summaries,research
w05__vy__change,history_summaries,research
w05__vy__ewmean,history_summaries,research
w08__vy__mean,history_summaries,research
w08__vy__std,history_summaries,research
w08__vy__min,history_summaries,research
w08__vy__max,history_summaries,research
w08__vy__rms,history_summaries,research
w08__vy__slope,history_summaries,research
w08__vy__change,history_summaries,research
w08__vy__ewmean,history_summaries,research
w12__vy__mean,history_summaries,research
w12__vy__std,history_summaries,research
w12__vy__min,history_summaries,research
w12__vy__max,history_summaries,research
w12__vy__rms,history_summaries,research
w12__vy__slope,history_summaries,research
w12__vy__change,history_summaries,research
w12__vy__ewmean,history_summaries,research
w20__vy__mean,history_summaries,research
w20__vy__std,history_summaries,research
w20__vy__min,history_summaries,research
w20__vy__max,history_summaries,research
w20__vy__rms,history_summaries,research
w20__vy__slope,history_summaries,research
w20__vy__change,history_summaries,research
w20__vy__ewmean,history_summaries,research
w30__vy__mean,history_summaries,research
w30__vy__std,history_summaries,research
w30__vy__min,history_summaries,research
w30__vy__max,history_summaries,research
w30__vy__rms,history_summaries,research
w30__vy__slope,history_summaries,research
w30__vy__change,history_summaries,research
w30__vy__ewmean,history_summaries,research
w40__vy__mean,history_summaries,research
w40__vy__std,history_summaries,research
w40__vy__min,history_summaries,research
w40__vy__max,history_summaries,research
w40__vy__rms,history_summaries,research
w40__vy__slope,history_summaries,research
w40__vy__change,history_summaries,research
w40__vy__ewmean,history_summaries,research
lag00__ax,history_lags,research
lag01__ax,history_lags,research
lag02__ax,history_lags,research
lag03__ax,history_lags,research
lag04__ax,history_lags,research
lag05__ax,history_lags,research
lag06__ax,history_lags,research
lag07__ax,history_lags,research
lag08__ax,history_lags,research
lag09__ax,history_lags,research
lag10__ax,history_lags,research
lag11__ax,history_lags,research
lag12__ax,history_lags,research
lag13__ax,history_lags,research
lag14__ax,history_lags,research
lag15__ax,history_lags,research
lag16__ax,history_lags,research
lag17__ax,history_lags,research
lag18__ax,history_lags,research
lag19__ax,history_lags,research
w03__ax__mean,history_summaries,research
w03__ax__std,history_summaries,research
w03__ax__min,history_summaries,research
w03__ax__max,history_summaries,research
w03__ax__rms,history_summaries,research
w03__ax__slope,history_summaries,research
w03__ax__change,history_summaries,research
w03__ax__ewmean,history_summaries,research
w05__ax__mean,history_summaries,research
w05__ax__std,history_summaries,research
w05__ax__min,history_summaries,research
w05__ax__max,history_summaries,research
w05__ax__rms,history_summaries,research
w05__ax__slope,history_summaries,research
w05__ax__change,history_summaries,research
w05__ax__ewmean,history_summaries,research
w08__ax__mean,history_summaries,research
w08__ax__std,history_summaries,research
w08__ax__min,history_summaries,research
w08__ax__max,history_summaries,research
w08__ax__rms,history_summaries,research
w08__ax__slope,history_summaries,research
w08__ax__change,history_summaries,research
w08__ax__ewmean,history_summaries,research
w12__ax__mean,history_summaries,research
w12__ax__std,history_summaries,research
w12__ax__min,history_summaries,research
w12__ax__max,history_summaries,research
w12__ax__rms,history_summaries,research
w12__ax__slope,history_summaries,research
w12__ax__change,history_summaries,research
w12__ax__ewmean,history_summaries,research
w20__ax__mean,history_summaries,research
w20__ax__std,history_summaries,research
w20__ax__min,history_summaries,research
w20__ax__max,history_summaries,research
w20__ax__rms,history_summaries,research
w20__ax__slope,history_summaries,research
w20__ax__change,history_summaries,research
w20__ax__ewmean,history_summaries,research
w30__ax__mean,history_summaries,research
w30__ax__std,history_summaries,research
w30__ax__min,history_summaries,research
w30__ax__max,history_summaries,research
w30__ax__rms,history_summaries,research
w30__ax__slope,history_summaries,research
w30__ax__change,history_summaries,research
w30__ax__ewmean,history_summaries,research
w40__ax__mean,history_summaries,research
w40__ax__std,history_summaries,research
w40__ax__min,history_summaries,research
w40__ax__max,history_summaries,research
w40__ax__rms,history_summaries,research
w40__ax__slope,history_summaries,research
w40__ax__change,history_summaries,research
w40__ax__ewmean,history_summaries,research
lag00__ay,history_lags,research
lag01__ay,history_lags,research
lag02__ay,history_lags,research
lag03__ay,history_lags,research
lag04__ay,history_lags,research
lag05__ay,history_lags,research
lag06__ay,history_lags,research
lag07__ay,history_lags,research
lag08__ay,history_lags,research
lag09__ay,history_lags,research
lag10__ay,history_lags,research
lag11__ay,history_lags,research
lag12__ay,history_lags,research
lag13__ay,history_lags,research
lag14__ay,history_lags,research
lag15__ay,history_lags,research
lag16__ay,history_lags,research
lag17__ay,history_lags,research
lag18__ay,history_lags,research
lag19__ay,history_lags,research
w03__ay__mean,history_summaries,research
w03__ay__std,history_summaries,research
w03__ay__min,history_summaries,research
w03__ay__max,history_summaries,research
w03__ay__rms,history_summaries,research
w03__ay__slope,history_summaries,research
w03__ay__change,history_summaries,research
w03__ay__ewmean,history_summaries,research
w05__ay__mean,history_summaries,research
w05__ay__std,history_summaries,research
w05__ay__min,history_summaries,research
w05__ay__max,history_summaries,research
w05__ay__rms,history_summaries,research
w05__ay__slope,history_summaries,research
w05__ay__change,history_summaries,research
w05__ay__ewmean,history_summaries,research
w08__ay__mean,history_summaries,research
w08__ay__std,history_summaries,research
w08__ay__min,history_summaries,research
w08__ay__max,history_summaries,research
w08__ay__rms,history_summaries,research
w08__ay__slope,history_summaries,research
w08__ay__change,history_summaries,research
w08__ay__ewmean,history_summaries,research
w12__ay__mean,history_summaries,research
w12__ay__std,history_summaries,research
w12__ay__min,history_summaries,research
w12__ay__max,history_summaries,research
w12__ay__rms,history_summaries,research
w12__ay__slope,history_summaries,research
w12__ay__change,history_summaries,research
w12__ay__ewmean,history_summaries,research
w20__ay__mean,history_summaries,research
w20__ay__std,history_summaries,research
w20__ay__min,history_summaries,research
w20__ay__max,history_summaries,research
w20__ay__rms,history_summaries,research
w20__ay__slope,history_summaries,research
w20__ay__change,history_summaries,research
w20__ay__ewmean,history_summaries,research
w30__ay__mean,history_summaries,research
w30__ay__std,history_summaries,research
w30__ay__min,history_summaries,research
w30__ay__max,history_summaries,research
w30__ay__rms,history_summaries,research
w30__ay__slope,history_summaries,research
w30__ay__change,history_summaries,research
w30__ay__ewmean,history_summaries,research
w40__ay__mean,history_summaries,research
w40__ay__std,history_summaries,research
w40__ay__min,history_summaries,research
w40__ay__max,history_summaries,research
w40__ay__rms,history_summaries,research
w40__ay__slope,history_summaries,research
w40__ay__change,history_summaries,research
w40__ay__ewmean,history_summaries,research
lag00__speed,history_lags,research
lag01__speed,history_lags,research
lag02__speed,history_lags,research
lag03__speed,history_lags,research
lag04__speed,history_lags,research
lag05__speed,history_lags,research
lag06__speed,history_lags,research
lag07__speed,history_lags,research
lag08__speed,history_lags,research
lag09__speed,history_lags,research
lag10__speed,history_lags,research
lag11__speed,history_lags,research
lag12__speed,history_lags,research
lag13__speed,history_lags,research
lag14__speed,history_lags,research
lag15__speed,history_lags,research
lag16__speed,history_lags,research
lag17__speed,history_lags,research
lag18__speed,history_lags,research
lag19__speed,history_lags,research
w03__speed__mean,history_summaries,research
w03__speed__std,history_summaries,research
w03__speed__min,history_summaries,research
w03__speed__max,history_summaries,research
w03__speed__rms,history_summaries,research
w03__speed__slope,history_summaries,research
w03__speed__change,history_summaries,research
w03__speed__ewmean,history_summaries,research
w05__speed__mean,history_summaries,research
w05__speed__std,history_summaries,research
w05__speed__min,history_summaries,research
w05__speed__max,history_summaries,research
w05__speed__rms,history_summaries,research
w05__speed__slope,history_summaries,research
w05__speed__change,history_summaries,research
w05__speed__ewmean,history_summaries,research
w08__speed__mean,history_summaries,research
w08__speed__std,history_summaries,research
w08__speed__min,history_summaries,research
w08__speed__max,history_summaries,research
w08__speed__rms,history_summaries,research
w08__speed__slope,history_summaries,research
w08__speed__change,history_summaries,research
w08__speed__ewmean,history_summaries,research
w12__speed__mean,history_summaries,research
w12__speed__std,history_summaries,research
w12__speed__min,history_summaries,research
w12__speed__max,history_summaries,research
w12__speed__rms,history_summaries,research
w12__speed__slope,history_summaries,research
w12__speed__change,history_summaries,research
w12__speed__ewmean,history_summaries,research
w20__speed__mean,history_summaries,research
w20__speed__std,history_summaries,research
w20__speed__min,history_summaries,research
w20__speed__max,history_summaries,research
w20__speed__rms,history_summaries,research
w20__speed__slope,history_summaries,research
w20__speed__change,history_summaries,research
w20__speed__ewmean,history_summaries,research
w30__speed__mean,history_summaries,research
w30__speed__std,history_summaries,research
w30__speed__min,history_summaries,research
w30__speed__max,history_summaries,research
w30__speed__rms,history_summaries,research
w30__speed__slope,history_summaries,research
w30__speed__change,history_summaries,research
w30__speed__ewmean,history_summaries,research
w40__speed__mean,history_summaries,research
w40__speed__std,history_summaries,research
w40__speed__min,history_summaries,research
w40__speed__max,history_summaries,research
w40__speed__rms,history_summaries,research
w40__speed__slope,history_summaries,research
w40__speed__change,history_summaries,research
w40__speed__ewmean,history_summaries,research
lag00__acceleration,history_lags,research
lag01__acceleration,history_lags,research
lag02__acceleration,history_lags,research
lag03__acceleration,history_lags,research
lag04__acceleration,history_lags,research
lag05__acceleration,history_lags,research
lag06__acceleration,history_lags,research
lag07__acceleration,history_lags,research
lag08__acceleration,history_lags,research
lag09__acceleration,history_lags,research
lag10__acceleration,history_lags,research
lag11__acceleration,history_lags,research
lag12__acceleration,history_lags,research
lag13__acceleration,history_lags,research
lag14__acceleration,history_lags,research
lag15__acceleration,history_lags,research
lag16__acceleration,history_lags,research
lag17__acceleration,history_lags,research
lag18__acceleration,history_lags,research
lag19__acceleration,history_lags,research
w03__acceleration__mean,history_summaries,research
w03__acceleration__std,history_summaries,research
w03__acceleration__min,history_summaries,research
w03__acceleration__max,history_summaries,research
w03__acceleration__rms,history_summaries,research
w03__acceleration__slope,history_summaries,research
w03__acceleration__change,history_summaries,research
w03__acceleration__ewmean,history_summaries,research
w05__acceleration__mean,history_summaries,research
w05__acceleration__std,history_summaries,research
w05__acceleration__min,history_summaries,research
w05__acceleration__max,history_summaries,research
w05__acceleration__rms,history_summaries,research
w05__acceleration__slope,history_summaries,research
w05__acceleration__change,history_summaries,research
w05__acceleration__ewmean,history_summaries,research
w08__acceleration__mean,history_summaries,research
w08__acceleration__std,history_summaries,research
w08__acceleration__min,history_summaries,research
w08__acceleration__max,history_summaries,research
w08__acceleration__rms,history_summaries,research
w08__acceleration__slope,history_summaries,research
w08__acceleration__change,history_summaries,research
w08__acceleration__ewmean,history_summaries,research
w12__acceleration__mean,history_summaries,research
w12__acceleration__std,history_summaries,research
w12__acceleration__min,history_summaries,research
w12__acceleration__max,history_summaries,research
w12__acceleration__rms,history_summaries,research
w12__acceleration__slope,history_summaries,research
w12__acceleration__change,history_summaries,research
w12__acceleration__ewmean,history_summaries,research
w20__acceleration__mean,history_summaries,research
w20__acceleration__std,history_summaries,research
w20__acceleration__min,history_summaries,research
w20__acceleration__max,history_summaries,research
w20__acceleration__rms,history_summaries,research
w20__acceleration__slope,history_summaries,research
w20__acceleration__change,history_summaries,research
w20__acceleration__ewmean,history_summaries,research
w30__acceleration__mean,history_summaries,research
w30__acceleration__std,history_summaries,research
w30__acceleration__min,history_summaries,research
w30__acceleration__max,history_summaries,research
w30__acceleration__rms,history_summaries,research
w30__acceleration__slope,history_summaries,research
w30__acceleration__change,history_summaries,research
w30__acceleration__ewmean,history_summaries,research
w40__acceleration__mean,history_summaries,research
w40__acceleration__std,history_summaries,research
w40__acceleration__min,history_summaries,research
w40__acceleration__max,history_summaries,research
w40__acceleration__rms,history_summaries,research
w40__acceleration__slope,history_summaries,research
w40__acceleration__change,history_summaries,research
w40__acceleration__ewmean,history_summaries,research
lag00__s,history_lags,research
lag01__s,history_lags,research
lag02__s,history_lags,research
lag03__s,history_lags,research
lag04__s,history_lags,research
lag05__s,history_lags,research
lag06__s,history_lags,research
lag07__s,history_lags,research
lag08__s,history_lags,research
lag09__s,history_lags,research
lag10__s,history_lags,research
lag11__s,history_lags,research
lag12__s,history_lags,research
lag13__s,history_lags,research
lag14__s,history_lags,research
lag15__s,history_lags,research
lag16__s,history_lags,research
lag17__s,history_lags,research
lag18__s,history_lags,research
lag19__s,history_lags,research
w03__s__mean,history_summaries,research
w03__s__std,history_summaries,research
w03__s__min,history_summaries,research
w03__s__max,history_summaries,research
w03__s__rms,history_summaries,research
w03__s__slope,history_summaries,research
w03__s__change,history_summaries,research
w03__s__ewmean,history_summaries,research
w05__s__mean,history_summaries,research
w05__s__std,history_summaries,research
w05__s__min,history_summaries,research
w05__s__max,history_summaries,research
w05__s__rms,history_summaries,research
w05__s__slope,history_summaries,research
w05__s__change,history_summaries,research
w05__s__ewmean,history_summaries,research
w08__s__mean,history_summaries,research
w08__s__std,history_summaries,research
w08__s__min,history_summaries,research
w08__s__max,history_summaries,research
w08__s__rms,history_summaries,research
w08__s__slope,history_summaries,research
w08__s__change,history_summaries,research
w08__s__ewmean,history_summaries,research
w12__s__mean,history_summaries,research
w12__s__std,history_summaries,research
w12__s__min,history_summaries,research
w12__s__max,history_summaries,research
w12__s__rms,history_summaries,research
w12__s__slope,history_summaries,research
w12__s__change,history_summaries,research
w12__s__ewmean,history_summaries,research
w20__s__mean,history_summaries,research
w20__s__std,history_summaries,research
w20__s__min,history_summaries,research
w20__s__max,history_summaries,research
w20__s__rms,history_summaries,research
w20__s__slope,history_summaries,research
w20__s__change,history_summaries,research
w20__s__ewmean,history_summaries,research
w30__s__mean,history_summaries,research
w30__s__std,history_summaries,research
w30__s__min,history_summaries,research
w30__s__max,history_summaries,research
w30__s__rms,history_summaries,research
w30__s__slope,history_summaries,research
w30__s__change,history_summaries,research
w30__s__ewmean,history_summaries,research
w40__s__mean,history_summaries,research
w40__s__std,history_summaries,research
w40__s__min,history_summaries,research
w40__s__max,history_summaries,research
w40__s__rms,history_summaries,research
w40__s__slope,history_summaries,research
w40__s__change,history_summaries,research
w40__s__ewmean,history_summaries,research
lag00__a,history_lags,research
lag01__a,history_lags,research
lag02__a,history_lags,research
lag03__a,history_lags,research
lag04__a,history_lags,research
lag05__a,history_lags,research
lag06__a,history_lags,research
lag07__a,history_lags,research
lag08__a,history_lags,research
lag09__a,history_lags,research
lag10__a,history_lags,research
lag11__a,history_lags,research
lag12__a,history_lags,research
lag13__a,history_lags,research
lag14__a,history_lags,research
lag15__a,history_lags,research
lag16__a,history_lags,research
lag17__a,history_lags,research
lag18__a,history_lags,research
lag19__a,history_lags,research
w03__a__mean,history_summaries,research
w03__a__std,history_summaries,research
w03__a__min,history_summaries,research
w03__a__max,history_summaries,research
w03__a__rms,history_summaries,research
w03__a__slope,history_summaries,research
w03__a__change,history_summaries,research
w03__a__ewmean,history_summaries,research
w05__a__mean,history_summaries,research
w05__a__std,history_summaries,research
w05__a__min,history_summaries,research
w05__a__max,history_summaries,research
w05__a__rms,history_summaries,research
w05__a__slope,history_summaries,research
w05__a__change,history_summaries,research
w05__a__ewmean,history_summaries,research
w08__a__mean,history_summaries,research
w08__a__std,history_summaries,research
w08__a__min,history_summaries,research
w08__a__max,history_summaries,research
w08__a__rms,history_summaries,research
w08__a__slope,history_summaries,research
w08__a__change,history_summaries,research
w08__a__ewmean,history_summaries,research
w12__a__mean,history_summaries,research
w12__a__std,history_summaries,research
w12__a__min,history_summaries,research
w12__a__max,history_summaries,research
w12__a__rms,history_summaries,research
w12__a__slope,history_summaries,research
w12__a__change,history_summaries,research
w12__a__ewmean,history_summaries,research
w20__a__mean,history_summaries,research
w20__a__std,history_summaries,research
w20__a__min,history_summaries,research
w20__a__max,history_summaries,research
w20__a__rms,history_summaries,research
w20__a__slope,history_summaries,research
w20__a__change,history_summaries,research
w20__a__ewmean,history_summaries,research
w30__a__mean,history_summaries,research
w30__a__std,history_summaries,research
w30__a__min,history_summaries,research
w30__a__max,history_summaries,research
w30__a__rms,history_summaries,research
w30__a__slope,history_summaries,research
w30__a__change,history_summaries,research
w30__a__ewmean,history_summaries,research
w40__a__mean,history_summaries,research
w40__a__std,history_summaries,research
w40__a__min,history_summaries,research
w40__a__max,history_summaries,research
w40__a__rms,history_summaries,research
w40__a__slope,history_summaries,research
w40__a__change,history_summaries,research
w40__a__ewmean,history_summaries,research
lag00__dir_sin,history_lags,research
lag01__dir_sin,history_lags,research
lag02__dir_sin,history_lags,research
lag03__dir_sin,history_lags,research
lag04__dir_sin,history_lags,research
lag05__dir_sin,history_lags,research
lag06__dir_sin,history_lags,research
lag07__dir_sin,history_lags,research
lag08__dir_sin,history_lags,research
lag09__dir_sin,history_lags,research
lag10__dir_sin,history_lags,research
lag11__dir_sin,history_lags,research
lag12__dir_sin,history_lags,research
lag13__dir_sin,history_lags,research
lag14__dir_sin,history_lags,research
lag15__dir_sin,history_lags,research
lag16__dir_sin,history_lags,research
lag17__dir_sin,history_lags,research
lag18__dir_sin,history_lags,research
lag19__dir_sin,history_lags,research
w03__dir_sin__mean,history_summaries,research
w03__dir_sin__std,history_summaries,research
w03__dir_sin__min,history_summaries,research
w03__dir_sin__max,history_summaries,research
w03__dir_sin__rms,history_summaries,research
w03__dir_sin__slope,history_summaries,research
w03__dir_sin__change,history_summaries,research
w03__dir_sin__ewmean,history_summaries,research
w05__dir_sin__mean,history_summaries,research
w05__dir_sin__std,history_summaries,research
w05__dir_sin__min,history_summaries,research
w05__dir_sin__max,history_summaries,research
w05__dir_sin__rms,history_summaries,research
w05__dir_sin__slope,history_summaries,research
w05__dir_sin__change,history_summaries,research
w05__dir_sin__ewmean,history_summaries,research
w08__dir_sin__mean,history_summaries,research
w08__dir_sin__std,history_summaries,research
w08__dir_sin__min,history_summaries,research
w08__dir_sin__max,history_summaries,research
w08__dir_sin__rms,history_summaries,research
w08__dir_sin__slope,history_summaries,research
w08__dir_sin__change,history_summaries,research
w08__dir_sin__ewmean,history_summaries,research
w12__dir_sin__mean,history_summaries,research
w12__dir_sin__std,history_summaries,research
w12__dir_sin__min,history_summaries,research
w12__dir_sin__max,history_summaries,research
w12__dir_sin__rms,history_summaries,research
w12__dir_sin__slope,history_summaries,research
w12__dir_sin__change,history_summaries,research
w12__dir_sin__ewmean,history_summaries,research
w20__dir_sin__mean,history_summaries,research
w20__dir_sin__std,history_summaries,research
w20__dir_sin__min,history_summaries,research
w20__dir_sin__max,history_summaries,research
w20__dir_sin__rms,history_summaries,research
w20__dir_sin__slope,history_summaries,research
w20__dir_sin__change,history_summaries,research
w20__dir_sin__ewmean,history_summaries,research
w30__dir_sin__mean,history_summaries,research
w30__dir_sin__std,history_summaries,research
w30__dir_sin__min,history_summaries,research
w30__dir_sin__max,history_summaries,research
w30__dir_sin__rms,history_summaries,research
w30__dir_sin__slope,history_summaries,research
w30__dir_sin__change,history_summaries,research
w30__dir_sin__ewmean,history_summaries,research
w40__dir_sin__mean,history_summaries,research
w40__dir_sin__std,history_summaries,research
w40__dir_sin__min,history_summaries,research
w40__dir_sin__max,history_summaries,research
w40__dir_sin__rms,history_summaries,research
w40__dir_sin__slope,history_summaries,research
w40__dir_sin__change,history_summaries,research
w40__dir_sin__ewmean,history_summaries,research
lag00__dir_cos,history_lags,research
lag01__dir_cos,history_lags,research
lag02__dir_cos,history_lags,research
