name,family,role,window_frames,component,units,availability,overlap,evidence
turn__Other Route Runner__w10__dy,turn,Other Route Runner,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
turn__Other Route Runner__w10__support_t,turn,Other Route Runner,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w5__dx,brake,Targeted Receiver,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w5__dy,brake,Targeted Receiver,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w5__support_t,brake,Targeted Receiver,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w10__dx,brake,Targeted Receiver,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w10__dy,brake,Targeted Receiver,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Targeted Receiver__w10__support_t,brake,Targeted Receiver,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w5__dx,brake,Defensive Coverage,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w5__dy,brake,Defensive Coverage,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w5__support_t,brake,Defensive Coverage,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w10__dx,brake,Defensive Coverage,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w10__dy,brake,Defensive Coverage,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Defensive Coverage__w10__support_t,brake,Defensive Coverage,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w5__dx,brake,Passer,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w5__dy,brake,Passer,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w5__support_t,brake,Passer,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w10__dx,brake,Passer,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w10__dy,brake,Passer,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Passer__w10__support_t,brake,Passer,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w5__dx,brake,Other Route Runner,5,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w5__dy,brake,Other Route Runner,5,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w5__support_t,brake,Other Route Runner,5,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w10__dx,brake,Other Route Runner,10,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w10__dy,brake,Other Route Runner,10,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
brake__Other Route Runner__w10__support_t,brake,Other Route Runner,10,support_t,seconds * support fraction,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Targeted Receiver__dx,orientation,Targeted Receiver,1,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Targeted Receiver__dy,orientation,Targeted Receiver,1,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Targeted Receiver__support_t,orientation,Targeted Receiver,1,support_t,seconds * availability,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Defensive Coverage__dx,orientation,Defensive Coverage,1,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Defensive Coverage__dy,orientation,Defensive Coverage,1,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Defensive Coverage__support_t,orientation,Defensive Coverage,1,support_t,seconds * availability,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Passer__dx,orientation,Passer,1,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Passer__dy,orientation,Passer,1,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Passer__support_t,orientation,Passer,1,support_t,seconds * availability,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Other Route Runner__dx,orientation,Other Route Runner,1,dx,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Other Route Runner__dy,orientation,Other Route Runner,1,dy,yards / 10,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
orientation__Other Route Runner__support_t,orientation,Other Route Runner,1,support_t,seconds * availability,pre-throw only; explicit adjacent-velocity/orientation support; role and request time supplied,"Existing motion/orientation/role raw signals; new conditional path-response representation, not unique raw information","Hypothesis; local engineering tests only, no Round 2 NFL RMSE yet"
