feature,family,availability,rationale,leakage_guard,evidence_status
response_time__receiver_vx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__receiver_vy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__receiver_joint,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__passer_dx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__passer_dy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__passer_joint,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__is_offense,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_displacement_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_displacement_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_mean_vx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_mean_vy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_velocity_change_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_velocity_change_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_path_length,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_straightness,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_joint_receiver_dx_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_joint_receiver_dy_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_observed_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w5_joint_receiver_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_displacement_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_displacement_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_mean_vx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_mean_vy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_velocity_change_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_velocity_change_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_path_length,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_straightness,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_joint_receiver_dx_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_joint_receiver_dy_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_observed_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w10_joint_receiver_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_displacement_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_displacement_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_mean_vx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_mean_vy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_velocity_change_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_velocity_change_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_path_length,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_straightness,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_joint_receiver_dx_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_joint_receiver_dy_change,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_observed_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__w20_joint_receiver_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__role_Targeted Receiver,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__role_Defensive Coverage,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__role_Passer,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__role_Other Route Runner,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
ball_remaining_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
ball_remaining_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
receiver_projected_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
receiver_projected_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__required_velocity_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__required_velocity_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__required_acceleration_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__required_acceleration_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__receiver_velocity_gap_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Targeted Receiver__receiver_velocity_gap_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__required_velocity_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__required_velocity_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__required_acceleration_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__required_acceleration_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__receiver_velocity_gap_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Defensive Coverage__receiver_velocity_gap_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__required_velocity_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__required_velocity_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__required_acceleration_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__required_acceleration_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__receiver_velocity_gap_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Passer__receiver_velocity_gap_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__required_velocity_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__required_velocity_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__required_acceleration_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__required_acceleration_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__receiver_velocity_gap_x,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
Other Route Runner__receiver_velocity_gap_y,role_conditioned_arrival,truncated observed prefix and organizer task metadata/query time,role-gated velocity/acceleration arrival demand or receiver motion,"no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
