name,family,scale_or_units,availability,interpretation_limit
receiver_velocity_present,pass_axis_state,boolean,pre-throw; simultaneous passer/player; supplied landing point,"reference geometry, not actual ball path or coverage assignment"
lag05__displacement_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__displacement_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__velocity_change_along,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__velocity_change_across,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__receiver_gap_change_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__receiver_gap_change_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__position_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__velocity_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag05__receiver_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__displacement_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__displacement_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__velocity_change_along,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__velocity_change_across,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__receiver_gap_change_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__receiver_gap_change_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__position_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__velocity_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag10__receiver_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__displacement_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__displacement_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__velocity_change_along,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__velocity_change_across,pass_axis_history,yards per second/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__receiver_gap_change_along,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__receiver_gap_change_across,pass_axis_history,yards/10,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__position_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__velocity_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
lag15__receiver_endpoints_present,pass_axis_history,boolean,exact observed offset; endpoint masks; no interpolation,interval change in fixed final observed frame; not instantaneous derivative
